bucket,group_id,item_id,label,token_length
400–600,arxiv-2001.06139v1,arxiv-2001.06139v1_ai_generated_llama-3.3-70b-instruct,2,507
400–600,arxiv-2001.06139v1,arxiv-2001.06139v1_ai_generated_llama-3.3-70b-instruct_THEN_gpt-4o-2024-11-20,2,485
400–600,arxiv-2001.06139v1,arxiv-2001.06139v1_human_ai_polished_gpt-3.5-turbo,1,550
400–600,arxiv-2001.06139v1,arxiv-2001.06139v1_human_written,0,539
400–600,arxiv-2001.06885v2,arxiv-2001.06885v2_ai_generated_gpt-3.5-turbo,2,477
200–400,arxiv-2001.06885v2,arxiv-2001.06885v2_ai_humanized_tool,3,252
400–600,arxiv-2001.06885v2,arxiv-2001.06885v2_human_ai_polished_gpt-3.5-turbo,1,465
400–600,arxiv-2001.06885v2,arxiv-2001.06885v2_human_written,0,458
400–600,arxiv-2001.11535v1,arxiv-2001.11535v1_ai_generated_gpt-3.5-turbo,2,467
400–600,arxiv-2001.11535v1,arxiv-2001.11535v1_ai_generated_gpt-3.5-turbo_THEN_gpt-3.5-turbo,2,476
400–600,arxiv-2001.11535v1,arxiv-2001.11535v1_human_ai_polished_claude-3-5-sonnet-20241022,1,452
400–600,arxiv-2001.11535v1,arxiv-2001.11535v1_human_written,0,424
400–600,arxiv-2002.05994v1,arxiv-2002.05994v1_ai_generated_claude-3-5-sonnet-20241022,2,431
400–600,arxiv-2002.05994v1,arxiv-2002.05994v1_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,467
400–600,arxiv-2002.05994v1,arxiv-2002.05994v1_human_ai_polished_gpt-4o-2024-11-20,1,498
400–600,arxiv-2002.05994v1,arxiv-2002.05994v1_human_written,0,445
600–800,arxiv-2002.08851v1,arxiv-2002.08851v1_ai_generated_gpt-3.5-turbo,2,662
600–800,arxiv-2002.08851v1,arxiv-2002.08851v1_ai_generated_gpt-3.5-turbo_THEN_claude-3-5-sonnet-20241022,2,633
600–800,arxiv-2002.08851v1,arxiv-2002.08851v1_human_ai_polished_gemini-1.5-pro-002,1,656
600–800,arxiv-2002.08851v1,arxiv-2002.08851v1_human_written,0,648
600–800,arxiv-2002.10101v1,arxiv-2002.10101v1_ai_generated_claude-3-5-sonnet-20241022,2,647
600–800,arxiv-2002.10101v1,arxiv-2002.10101v1_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-3.5-turbo,2,690
600–800,arxiv-2002.10101v1,arxiv-2002.10101v1_human_ai_polished_gpt-4o-2024-11-20,1,662
600–800,arxiv-2002.10101v1,arxiv-2002.10101v1_human_written,0,649
400–600,arxiv-2003.00703v1,arxiv-2003.00703v1_ai_generated_qwen2.5-72b-instruct,2,469
400–600,arxiv-2003.00703v1,arxiv-2003.00703v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-3.5-turbo,2,502
400–600,arxiv-2003.00703v1,arxiv-2003.00703v1_human_ai_polished_gpt-3.5-turbo,1,470
400–600,arxiv-2003.00703v1,arxiv-2003.00703v1_human_written,0,477
400–600,arxiv-2003.13830v1,arxiv-2003.13830v1_ai_generated_claude-3-5-sonnet-20241022,2,411
200–400,arxiv-2003.13830v1,arxiv-2003.13830v1_ai_generated_claude-3-5-sonnet-20241022_THEN_claude-3-5-sonnet-20241022,2,399
200–400,arxiv-2003.13830v1,arxiv-2003.13830v1_human_ai_polished_claude-3-5-sonnet-20241022,1,398
400–600,arxiv-2003.13830v1,arxiv-2003.13830v1_human_written,0,406
400–600,arxiv-2004.01493v4,arxiv-2004.01493v4_ai_generated_llama-3.3-70b-instruct,2,597
600–800,arxiv-2004.01493v4,arxiv-2004.01493v4_ai_generated_llama-3.3-70b-instruct_THEN_claude-3-5-sonnet-20241022,2,603
600–800,arxiv-2004.01493v4,arxiv-2004.01493v4_human_ai_polished_gemini-1.5-pro-002,1,619
600–800,arxiv-2004.01493v4,arxiv-2004.01493v4_human_written,0,634
400–600,arxiv-2004.02073v1,arxiv-2004.02073v1_ai_generated_llama-3.3-70b-instruct,2,417
400–600,arxiv-2004.02073v1,arxiv-2004.02073v1_ai_generated_llama-3.3-70b-instruct_THEN_gemini-1.5-pro-002,2,454
400–600,arxiv-2004.02073v1,arxiv-2004.02073v1_human_ai_polished_claude-3-5-sonnet-20241022,1,450
400–600,arxiv-2004.02073v1,arxiv-2004.02073v1_human_written,0,418
400–600,arxiv-2004.12186v2,arxiv-2004.12186v2_ai_generated_gpt-4o-2024-11-20,2,552
400–600,arxiv-2004.12186v2,arxiv-2004.12186v2_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,547
600–800,arxiv-2004.12186v2,arxiv-2004.12186v2_human_ai_polished_claude-3-5-sonnet-20241022,1,676
600–800,arxiv-2004.12186v2,arxiv-2004.12186v2_human_written,0,605
200–400,arxiv-2005.03256v1,arxiv-2005.03256v1_ai_generated_gpt-3.5-turbo,2,256
200–400,arxiv-2005.03256v1,arxiv-2005.03256v1_ai_generated_gpt-3.5-turbo_THEN_gpt-4o-2024-11-20,2,266
200–400,arxiv-2005.03256v1,arxiv-2005.03256v1_human_ai_polished_gpt-4o-2024-11-20,1,265
200–400,arxiv-2005.03256v1,arxiv-2005.03256v1_human_written,0,269
200–400,arxiv-2005.04170v1,arxiv-2005.04170v1_ai_generated_gpt-4o-2024-11-20,2,346
200–400,arxiv-2005.04170v1,arxiv-2005.04170v1_ai_generated_gpt-4o-2024-11-20_THEN_gemini-1.5-pro-002,2,341
200–400,arxiv-2005.04170v1,arxiv-2005.04170v1_human_ai_polished_gpt-3.5-turbo,1,350
200–400,arxiv-2005.04170v1,arxiv-2005.04170v1_human_written,0,352
200–400,arxiv-2005.05610v1,arxiv-2005.05610v1_ai_generated_gpt-3.5-turbo,2,392
400–600,arxiv-2005.05610v1,arxiv-2005.05610v1_ai_generated_gpt-3.5-turbo_THEN_gemini-1.5-pro-002,2,433
400–600,arxiv-2005.05610v1,arxiv-2005.05610v1_human_ai_polished_claude-3-5-sonnet-20241022,1,406
400–600,arxiv-2005.05610v1,arxiv-2005.05610v1_human_written,0,405
400–600,arxiv-2005.09081v2,arxiv-2005.09081v2_ai_generated_gpt-4o-2024-11-20,2,474
200–400,arxiv-2005.09081v2,arxiv-2005.09081v2_ai_humanized_tool,3,399
400–600,arxiv-2005.09081v2,arxiv-2005.09081v2_human_ai_polished_gpt-3.5-turbo,1,465
400–600,arxiv-2005.09081v2,arxiv-2005.09081v2_human_written,0,475
400–600,arxiv-2006.00978v2,arxiv-2006.00978v2_ai_generated_gemini-1.5-pro-002,2,453
400–600,arxiv-2006.00978v2,arxiv-2006.00978v2_ai_generated_gemini-1.5-pro-002_THEN_gpt-4o-2024-11-20,2,426
400–600,arxiv-2006.00978v2,arxiv-2006.00978v2_human_ai_polished_gpt-3.5-turbo,1,492
400–600,arxiv-2006.00978v2,arxiv-2006.00978v2_human_written,0,513
400–600,arxiv-2006.01524v2,arxiv-2006.01524v2_ai_generated_gpt-4o-2024-11-20,2,429
400–600,arxiv-2006.01524v2,arxiv-2006.01524v2_ai_generated_gpt-4o-2024-11-20_THEN_gpt-3.5-turbo,2,502
600–800,arxiv-2006.01524v2,arxiv-2006.01524v2_human_ai_polished_claude-3-5-sonnet-20241022,1,768
600–800,arxiv-2006.01524v2,arxiv-2006.01524v2_human_written,0,657
400–600,arxiv-2006.05538v1,arxiv-2006.05538v1_ai_generated_gpt-4o-2024-11-20,2,536
